footprintIndex, floorIndex, footprintType, floorplateType
0,0,T1,3211V3
0,1,T1,33V1
0,2,T1,33V1
0,3,T1,3211V3
0,4,T1,33V1
0,5,T1,33V1
0,6,T1,3211V3
0,7,T1,33V1
0,8,T1,33V1
0,9,T1,3211V3
0,10,T1,33V1
0,11,T1,33V1
0,12,T1,3211V3
0,13,T1,33V1
0,14,T1,33V1
0,15,T1,3211V3
0,16,T1,33V2
0,17,T1,33V2
0,18,T1,3211V3
0,19,T1,33V2
0,20,T1,33V2
0,21,T1,3211V3
0,22,T1,322V4
0,23,T1,322V4
0,24,T1,3211V3
0,25,T1,322V4
0,26,T1,322V4
0,27,T1,3211V3
0,28,T1,322V4
0,29,T1,322V4
0,30,T1,3211V3
0,31,T1,322V4
0,32,T1,322V1
0,33,T1,3211V3
0,34,T1,322V1
0,35,T1,322V1
0,36,T1,3211V3
0,37,T1,3211V3
0,38,T1,3211V3
0,39,T1,322V4
0,40,T1,322V4
